block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1015,anticipation_pirt,-1,greater,ok,,0.0033911580743933092,0.9270364817591205,False,0.05,2000,499,1000,2797789797,0.026376699999673292
1000,1015,carryover_crt,0,two-sided,ok,,1.0683769348190724,0.0004997501249375312,True,0.05,2000,250,250000,2801488318,0.026170700002694502
1000,1015,carryover_crt,1000,two-sided,ok,,0.45775390956157447,0.3073463268365817,False,0.05,2000,125,125000,2490519916,0.021150599990505725
1000,1015,carryover_crt,2500,two-sided,ok,,0.4491113125939325,0.4077961019490255,False,0.05,2000,83,43500,4155391913,0.01485760000650771
1000,1015,carryover_crt,5000,two-sided,ok,,0.2292668242180129,0.7831084457771115,False,0.05,2000,41,41000,4175145548,0.011945000005653128
1000,1015,carryover_crt,10000,two-sided,ok,,-0.21430635699646705,0.8350824587706147,False,0.05,2000,22,22000,3451585463,0.010358800005633384
1000,1015,total_effect_crt,5000,greater,ok,,3.889974908068776,0.12093953023488256,False,0.05,2000,4,4000,2254597639,0.00903929999913089
1000,1016,anticipation_pirt,-1,greater,ok,,-0.003147907945311833,0.07296351824087956,False,0.05,2000,499,2000,2849962701,0.03275540002505295
1000,1016,carryover_crt,0,two-sided,ok,,0.48601838864289215,0.09995002498750624,False,0.05,2000,250,250000,3917737455,0.02670869999565184
1000,1016,carryover_crt,1000,two-sided,ok,,-0.01362591989094014,0.975512243878061,False,0.05,2000,125,125000,2423776054,0.01775840000482276
1000,1016,carryover_crt,2500,two-sided,ok,,-0.07838727598301613,0.881559220389805,False,0.05,2000,83,43500,1099097510,0.015102299978025258
1000,1016,carryover_crt,5000,two-sided,ok,,-1.8702189820815878,0.014992503748125937,True,0.05,2000,41,41000,2212077252,0.01058309999643825
1000,1016,carryover_crt,10000,two-sided,ok,,1.7177026855612005,0.07646176911544228,False,0.05,2000,22,22000,1249408965,0.008787499973550439
