block_length,seed,n_events,n_blocks,treated_block_share,treated_event_share,mean_reward,mean_reward_control,mean_reward_treated,naive_effect,pure_history_memory,pure_history_share,pure_history_ht,generation_seconds,includes_compilation,jax_backend,file_size_megabytes
1000,1067,500000,500,0.518,0.518,2.260387659072876,1.823615550994873,2.6668052673339844,0.8431897163391113,5000,0.0202020202020202,0.42161259619997,146.5187936000002,False,cpu,0.6419649124145508
1000,1068,500000,500,0.462,0.462,2.2018260955810547,1.827598571777344,2.637615442276001,0.8100168704986572,5000,0.0424242424242424,1.963550985324744,140.57121670000197,False,cpu,0.6446218490600586
1000,1069,500000,500,0.468,0.468,2.1985154151916504,1.861437559127808,2.58168888092041,0.7202513217926025,5000,0.0262626262626262,-0.3785140930120391,133.8440830000036,False,cpu,0.645634651184082
1000,1070,500000,500,0.494,0.494,2.2530176639556885,1.8217424154281616,2.6947710514068604,0.8730286359786987,5000,0.0444444444444444,5.565835509529981,138.42046759999357,False,cpu,0.6442775726318359
1000,1071,500000,500,0.518,0.518,2.265571117401123,1.849656343460083,2.6525795459747314,0.8029232025146484,5000,0.0323232323232323,2.365891178475245,137.01021819999733,False,cpu,0.6440715789794922
1000,1072,500000,500,0.524,0.524,2.266889810562134,1.861397624015808,2.6352379322052,0.7738403081893921,5000,0.0323232323232323,-0.1374655312822322,140.39443780000147,False,cpu,0.6431503295898438
1000,1073,500000,500,0.486,0.486,2.2577896118164062,1.8052595853805544,2.736390352249145,0.9311307668685912,5000,0.0525252525252525,0.1411387432919608,137.34926969998924,False,cpu,0.6461563110351562
1000,1074,500000,500,0.504,0.504,2.2935986518859863,1.828778624534607,2.75104022026062,0.9222615957260132,5000,0.0343434343434343,2.1613368393541585,140.61445249999815,False,cpu,0.6492013931274414
1000,1075,500000,500,0.506,0.506,2.268076181411743,1.8814446926116943,2.645538330078125,0.7640936374664307,5000,0.0242424242424242,0.7045132752023562,130.2586300999974,False,cpu,0.6487340927124023
1000,1076,500000,500,0.538,0.538,2.3233585357666016,1.882800817489624,2.701681137084961,0.8188803195953369,5000,0.0464646464646464,4.273934126260546,142.81972010000027,False,cpu,0.6494522094726562
1000,1077,500000,500,0.54,0.54,2.313705444335937,1.8073500394821167,2.7450451850891118,0.9376951456069946,5000,0.0303030303030303,4.102227946484691,150.38542819999566,False,cpu,0.6436958312988281
1000,1078,500000,500,0.48,0.48,2.2216646671295166,1.866856932640076,2.60603928565979,0.7391823530197144,5000,0.0303030303030303,-3.4376041246635745,132.94471310000517,False,cpu,0.6462697982788086
1000,1079,500000,500,0.492,0.492,2.2379367351531982,1.876595377922058,2.611027956008911,0.734432578086853,5000,0.0242424242424242,3.4603480427101405,140.55000380000274,False,cpu,0.6467809677124023
1000,1080,500000,500,0.538,0.538,2.299508810043335,1.8584216833114624,2.6782870292663574,0.819865345954895,5000,0.0444444444444444,5.271329495016253,131.49057739999262,False,cpu,0.6450366973876953
1000,1081,500000,500,0.516,0.516,2.257795572280884,1.827445387840271,2.6614577770233154,0.8340123891830444,5000,0.0323232323232323,5.319166583630292,141.72653249998984,False,cpu,0.6428070068359375
1000,1082,500000,500,0.496,0.496,2.2485368251800537,1.848245978355408,2.655285120010376,0.8070391416549683,5000,0.0565656565656565,1.1794837703565155,130.95170629999484,False,cpu,0.6462011337280273
1000,1083,500000,500,0.472,0.472,2.227200746536255,1.8136427402496336,2.689823865890503,0.8761811256408691,5000,0.0545454545454545,1.7018452945550282,142.24788719999196,False,cpu,0.6444902420043945
1000,1084,500000,500,0.49,0.49,2.2330217361450195,1.8181359767913816,2.664841651916504,0.8467056751251221,5000,0.0383838383838383,3.4110951941362537,133.08869530000084,False,cpu,0.6435108184814453
1000,1085,500000,500,0.5,0.5,2.2575204372406006,1.8700648546218872,2.6449761390686035,0.7749112844467163,5000,0.0323232323232323,-0.8692609114521682,139.13128039998992,False,cpu,0.6468839645385742
1000,1086,500000,500,0.484,0.484,2.2281641960144043,1.8339447975158687,2.648447275161743,0.814502477645874,5000,0.0141414141414141,-1.1285488209262038,137.87494549999246,False,cpu,0.6435785293579102
1000,1087,500000,500,0.498,0.498,2.2479817867279053,1.820704460144043,2.67869234085083,0.8579878807067871,5000,0.0343434343434343,0.5326428974031198,141.49834819999523,False,cpu,0.6440572738647461
1000,1088,500000,500,0.52,0.52,2.2845704555511475,1.8866218328475952,2.65190863609314,0.7652868032455444,5000,0.0606060606060606,-2.2395900856675524,132.8141939000052,False,cpu,0.6478767395019531
1000,1089,500000,500,0.526,0.526,2.30881929397583,1.8400262594223025,2.731267213821411,0.8912409543991089,5000,0.0242424242424242,1.3884457047867051,137.53053070000897,False,cpu,0.6483249664306641
